Time: 5.335, x: 1.58703e-06, y: -6.73397, z: 1.2503, phi: -0.00230066, theta: 1.18544e-10, psi: 9.08392e-12
Time: 5.376, x: 1.60133e-06, y: -6.7191, z: 1.2503, phi: -0.002172, theta: 6.07653e-10, psi: 6.8132e-12
Time: 5.416, x: 1.62019e-06, y: -6.69939, z: 1.2503, phi: -0.0020272, theta: 1.39182e-09, psi: 4.3795e-12
Time: 5.456, x: 1.63351e-06, y: -6.68546, z: 1.2503, phi: -0.00194316, theta: 2.05033e-09, psi: 3.33727e-12
Time: 5.493, x: 1.64654e-06, y: -6.67184, z: 1.2503, phi: -0.00185791, theta: 2.72829e-09, psi: 3.04392e-12
Time: 5.536, x: 1.65928e-06, y: -6.65854, z: 1.2503, phi: -0.00175899, theta: 3.38651e-09, psi: 3.40792e-12
Time: 5.577, x: 1.67247e-06, y: -6.64482, z: 1.2503, phi: -0.00162545, theta: 4.03266e-09, psi: 4.29458e-12
Time: 5.618, x: 1.69227e-06, y: -6.62435, z: 1.2503, phi: -0.00129897, theta: 4.82579e-09, psi: 6.04815e-12
Time: 5.657, x: 1.70539e-06, y: -6.61091, z: 1.2503, phi: -0.00106109, theta: 5.33114e-09, psi: 7.34601e-12
Time: 5.696, x: 1.71902e-06, y: -6.59707, z: 1.25031, phi: -0.000825827, theta: 5.89249e-09, psi: 8.74846e-12
Time: 5.737, x: 1.73392e-06, y: -6.58208, z: 1.25031, phi: -0.000609476, theta: 6.58341e-09, psi: 1.04097e-11
Time: 5.777, x: 1.74827e-06, y: -6.56782, z: 1.25032, phi: -0.000445367, theta: 7.33578e-09, psi: 1.21334e-11
Time: 5.815, x: 1.76244e-06, y: -6.55393, z: 1.25032, phi: -0.00031704, theta: 8.1449e-09, psi: 1.38435e-11
Time: 5.856, x: 1.77722e-06, y: -6.53965, z: 1.25032, phi: -0.000203286, theta: 9.0152e-09, psi: 1.53998e-11
Time: 5.891, x: 1.79185e-06, y: -6.52574, z: 1.25032, phi: -0.000106656, theta: 9.8857e-09, psi: 1.65808e-11
Time: 5.931, x: 1.80797e-06, y: -6.5107, z: 1.25032, phi: -4.10407e-05, theta: 1.0889e-08, psi: 1.76364e-11
Time: 5.969, x: 1.82568e-06, y: -6.49454, z: 1.25032, phi: -1.61696e-05, theta: 1.2032e-08, psi: 1.85712e-11
Time: 6.011, x: 1.84168e-06, y: -6.48025, z: 1.25032, phi: -1.73657e-05, theta: 1.30859e-08, psi: 1.89961e-11
Time: 6.051, x: 1.85807e-06, y: -6.46596, z: 1.25031, phi: 3.14313e-05, theta: 1.40058e-08, psi: 1.8056e-11
Time: 6.09, x: 1.87619e-06, y: -6.45055, z: 1.25031, phi: 0.000168482, theta: 1.47854e-08, psi: 1.50322e-11
Time: 6.13, x: 1.89389e-06, y: -6.43589, z: 1.2503, phi: 0.000346339, theta: 1.53675e-08, psi: 1.10559e-11
Time: 6.17, x: 1.9111e-06, y: -6.42199, z: 1.2503, phi: 0.000530299, theta: 1.58471e-08, psi: 7.50573e-12
Time: 6.208, x: 1.92777e-06, y: -6.40885, z: 1.2503, phi: 0.000697737, theta: 1.62934e-08, psi: 5.41925e-12
Time: 6.248, x: 1.95577e-06, y: -6.3875, z: 1.25031, phi: 0.000949094, theta: 1.70366e-08, psi: 5.54249e-12
Time: 6.286, x: 1.97452e-06, y: -6.37367, z: 1.25031, phi: 0.00111674, theta: 1.74887e-08, psi: 7.41056e-12
Time: 6.325, x: 1.99427e-06, y: -6.3595, z: 1.25031, phi: 0.0012294, theta: 1.8092e-08, psi: 1.14414e-11
Time: 6.365, x: 2.01398e-06, y: -6.34574, z: 1.25031, phi: 0.00127158, theta: 1.88159e-08, psi: 1.68908e-11
Time: 6.405, x: 2.0353e-06, y: -6.33127, z: 1.25031, phi: 0.00125262, theta: 1.97061e-08, psi: 2.31288e-11
Time: 6.445, x: 2.05664e-06, y: -6.31721, z: 1.25031, phi: 0.00119101, theta: 2.06461e-08, psi: 2.81632e-11
Time: 6.484, x: 2.07857e-06, y: -6.30318, z: 1.25031, phi: 0.00110572, theta: 2.16183e-08, psi: 3.0901e-11
Time: 6.523, x: 2.1011e-06, y: -6.28918, z: 1.25031, phi: 0.00100695, theta: 2.26029e-08, psi: 3.07152e-11
Time: 6.56, x: 2.12366e-06, y: -6.27558, z: 1.25031, phi: 0.000902083, theta: 2.35721e-08, psi: 2.78214e-11
Time: 6.598, x: 2.14876e-06, y: -6.26091, z: 1.25031, phi: 0.000758108, theta: 2.46931e-08, psi: 2.29903e-11
Time: 6.638, x: 2.17397e-06, y: -6.24663, z: 1.25031, phi: 0.000583066, theta: 2.58849e-08, psi: 1.76371e-11
Time: 6.678, x: 2.19928e-06, y: -6.23273, z: 1.25031, phi: 0.00039791, theta: 2.71014e-08, psi: 1.19299e-11
Time: 6.718, x: 2.22466e-06, y: -6.2192, z: 1.2503, phi: 0.000272688, theta: 2.8097e-08, psi: 4.17795e-12
Time: 6.748, x: 2.25367e-06, y: -6.20422, z: 1.2503, phi: 0.000222759, theta: 2.88966e-08, psi: -7.55683e-12
Time: 6.793, x: 2.28142e-06, y: -6.19034, z: 1.2503, phi: 0.000248301, theta: 2.93979e-08, psi: -2.0022e-11
Time: 6.832, x: 2.30999e-06, y: -6.17647, z: 1.2503, phi: 0.000295857, theta: 2.98344e-08, psi: -3.08362e-11
Time: 6.873, x: 2.33863e-06, y: -6.16297, z: 1.25029, phi: 0.000337612, theta: 3.032e-08, psi: -3.70418e-11
Time: 6.914, x: 2.36808e-06, y: -6.14948, z: 1.25029, phi: 0.00035823, theta: 3.09123e-08, psi: -3.80433e-11
Time: 6.954, x: 2.41507e-06, y: -6.12872, z: 1.25028, phi: 0.000329446, theta: 3.2159e-08, psi: -2.99824e-11
Time: 6.994, x: 2.44752e-06, y: -6.11489, z: 1.25028, phi: 0.000262245, theta: 3.32602e-08, psi: -2.00048e-11
Time: 7.033, x: 2.48002e-06, y: -6.10143, z: 1.25029, phi: 0.000172264, theta: 3.4465e-08, psi: -9.54334e-12
Time: 7.073, x: 2.51437e-06, y: -6.08762, z: 1.25029, phi: 0.000143294, theta: 3.54123e-08, psi: -3.70821e-12
Time: 7.113, x: 2.54878e-06, y: -6.07416, z: 1.2503, phi: 0.000195559, theta: 3.59752e-08, psi: -4.77934e-12
Time: 7.15, x: 2.58416e-06, y: -6.06072, z: 1.2503, phi: 0.000317466, theta: 3.62585e-08, psi: -1.13651e-11
Time: 7.19, x: 2.62152e-06, y: -6.04691, z: 1.25031, phi: 0.000484582, theta: 3.64438e-08, psi: -2.01447e-11
Time: 7.229, x: 2.65991e-06, y: -6.03312, z: 1.25031, phi: 0.0006544, theta: 3.67525e-08, psi: -2.65007e-11
Time: 7.267, x: 2.69932e-06, y: -6.01936, z: 1.25031, phi: 0.000773509, theta: 3.74725e-08, psi: -2.60639e-11
Time: 7.304, x: 2.73979e-06, y: -6.00561, z: 1.25031, phi: 0.000816175, theta: 3.8723e-08, psi: -1.71702e-11
Time: 7.343, x: 2.78023e-06, y: -5.99225, z: 1.25031, phi: 0.00079065, theta: 4.04368e-08, psi: -2.00779e-12
Time: 7.382, x: 2.8229e-06, y: -5.97855, z: 1.25031, phi: 0.000761633, theta: 4.22845e-08, psi: 1.40102e-11
Time: 7.419, x: 2.86793e-06, y: -5.96451, z: 1.25031, phi: 0.000738566, theta: 4.42061e-08, psi: 2.64948e-11
Time: 7.458, x: 2.91187e-06, y: -5.95121, z: 1.2503, phi: 0.000706406, theta: 4.61617e-08, psi: 3.31127e-11
