Time: 10.165, U1: 20.6759, U2: -0.00432758, U3: -0.0116648, U4: -2.45267e-05
Time: 10.205, U1: 20.6793, U2: -0.000787368, U3: -0.0192899, U4: -4.69175e-05
Time: 10.242, U1: 20.6763, U2: -0.00153693, U3: -0.0241017, U4: -6.44094e-05
Time: 10.283, U1: 20.6814, U2: 0.000672464, U3: -0.0200917, U4: -6.64467e-05
Time: 10.324, U1: 20.6817, U2: 0.00195801, U3: -0.0158427, U4: -6.44022e-05
Time: 10.363, U1: 20.6797, U2: 0.00615008, U3: -0.0043878, U4: -5.95035e-05
Time: 10.403, U1: 20.68, U2: 0.00378712, U3: 0.00166017, U4: -5.0855e-05
Time: 10.442, U1: 20.6784, U2: 0.00884066, U3: 0.00613583, U4: -2.61439e-05
Time: 10.482, U1: 20.679, U2: 0.00752193, U3: 0.00747465, U4: 1.83942e-06
Time: 10.517, U1: 20.672, U2: 0.00585073, U3: 0.00723227, U4: 3.28682e-05
Time: 10.56, U1: 20.6811, U2: 0.0021465, U3: 0.00749699, U4: 5.51363e-05
Time: 10.601, U1: 20.6807, U2: 0.00124372, U3: 0.00570005, U4: 6.91898e-05
Time: 10.642, U1: 20.6805, U2: -0.000128454, U3: 0.00442041, U4: 6.62709e-05
Time: 10.682, U1: 20.6786, U2: 0.00508193, U3: 0.0030794, U4: 5.61319e-05
Time: 10.721, U1: 20.6767, U2: -0.00472553, U3: 0.00316088, U4: 4.11421e-05
Time: 10.762, U1: 20.6784, U2: -0.0147856, U3: 0.00355877, U4: 1.91965e-05
Time: 10.801, U1: 20.6761, U2: -0.00953308, U3: 0.00328146, U4: 4.6605e-06
Time: 10.839, U1: 20.6749, U2: -0.00687814, U3: 0.00295897, U4: 1.60417e-05
Time: 10.879, U1: 20.6777, U2: 0.0020773, U3: 0.00255794, U4: 5.4591e-05
Time: 10.916, U1: 20.6743, U2: 0.00229641, U3: 0.00231673, U4: 7.39305e-05
Time: 10.951, U1: 20.6734, U2: -0.000430764, U3: 0.00221706, U4: 7.25794e-05
Time: 10.991, U1: 20.6801, U2: 0.00216297, U3: 0.00175921, U4: 2.67237e-05
Time: 11.03, U1: 20.6806, U2: 0.00229731, U3: 0.00154828, U4: 9.91994e-07
Time: 11.069, U1: 20.6811, U2: -0.000800432, U3: 0.0013793, U4: -2.07072e-05
Time: 11.108, U1: 20.6809, U2: 0.00494501, U3: 0.00125272, U4: -3.62929e-05
Time: 11.15, U1: 20.6835, U2: 0.00473733, U3: 0.000995979, U4: -3.90694e-05
