Time: 9.788, x: 0.0268352, y: -4.66637, z: 1.25
Time: 9.834, x: 0.0126879, y: -4.64537, z: 1.25
Time: 9.876, x: 0.00982568, y: -4.63144, z: 1.25
Time: 9.919, x: 0.00199727, y: -4.61776, z: 1.25
Time: 9.962, x: 0.000298535, y: -4.60402, z: 1.25
Time: 10.003, x: -0.00420981, y: -4.58453, z: 1.25
Time: 10.044, x: -0.00642693, y: -4.57085, z: 1.25
Time: 10.082, x: -0.0054877, y: -4.55705, z: 1.25
Time: 10.124, x: -0.00610356, y: -4.54265, z: 1.25
Time: 10.164, x: -0.00528118, y: -4.52893, z: 1.25
Time: 10.206, x: -0.00471241, y: -4.5155, z: 1.25
Time: 10.249, x: -0.00457832, y: -4.50196, z: 1.25
Time: 10.29, x: -0.0024621, y: -4.48124, z: 1.25
Time: 10.335, x: -0.00188735, y: -4.46845, z: 1.25
Time: 10.38, x: -0.000907563, y: -4.44872, z: 1.25
Time: 10.423, x: -0.000870623, y: -4.43517, z: 1.25
Time: 10.467, x: -0.000348441, y: -4.42125, z: 1.25
Time: 10.509, x: -4.97338e-05, y: -4.40121, z: 1.25
Time: 10.549, x: 4.87265e-06, y: -4.38732, z: 1.25
Time: 10.594, x: 6.61402e-05, y: -4.37338, z: 1.25
Time: 10.637, x: 0.000102432, y: -4.35977, z: 1.25
Time: 10.681, x: 0.000146968, y: -4.3395, z: 1.25
Time: 10.722, x: 0.000165063, y: -4.32545, z: 1.25
Time: 10.767, x: 0.000181465, y: -4.31177, z: 1.25
Time: 10.805, x: 0.000194777, y: -4.29769, z: 1.25
Time: 10.848, x: 0.00021476, y: -4.2767, z: 1.25
Time: 10.89, x: 0.000222157, y: -4.26289, z: 1.25
Time: 10.927, x: 0.000230875, y: -4.24928, z: 1.25
Time: 10.964, x: 0.000237587, y: -4.23542, z: 1.25
Time: 11.008, x: 0.000242833, y: -4.22136, z: 1.25
Time: 11.049, x: 0.000246616, y: -4.20665, z: 1.25
Time: 11.089, x: 0.000248315, y: -4.19294, z: 1.25
Time: 11.13, x: 0.000248674, y: -4.17262, z: 1.25
Time: 11.172, x: 0.000247185, y: -4.15844, z: 1.25
Time: 11.213, x: 0.000244546, y: -4.1448, z: 1.25
Time: 11.256, x: 0.000240587, y: -4.1306, z: 1.25
Time: 11.295, x: 0.000235387, y: -4.11654, z: 1.25
Time: 11.337, x: 0.000226215, y: -4.09636, z: 1.25
Time: 11.377, x: 0.000218495, y: -4.08207, z: 1.25
Time: 11.416, x: 0.000209809, y: -4.06793, z: 1.25
Time: 11.457, x: 0.00020001, y: -4.05345, z: 1.25
Time: 11.494, x: 0.000189695, y: -4.03931, z: 1.25
Time: 11.533, x: 0.000179284, y: -4.02596, z: 1.25
Time: 11.573, x: 0.000167718, y: -4.01187, z: 1.25
Time: 11.612, x: 0.000155966, y: -3.99815, z: 1.25
Time: 11.652, x: 0.000137791, y: -3.97778, z: 1.25
Time: 11.692, x: 0.000125211, y: -3.96408, z: 1.25
Time: 11.73, x: 0.000112789, y: -3.95077, z: 1.25
Time: 11.766, x: 9.9565e-05, y: -3.93672, z: 1.25
Time: 11.809, x: 8.49147e-05, y: -3.9212, z: 1.25
Time: 11.847, x: 7.13702e-05, y: -3.9068, z: 1.25
Time: 11.888, x: 5.86511e-05, y: -3.89314, z: 1.25
Time: 11.928, x: 4.6464e-05, y: -3.87986, z: 1.25
Time: 11.967, x: 3.4195e-05, y: -3.8662, z: 1.25
Time: 12.006, x: 2.22472e-05, y: -3.85254, z: 1.25
Time: 12.046, x: 5.20217e-06, y: -3.83222, z: 1.25
Time: 12.087, x: -5.99714e-06, y: -3.81816, z: 1.25
Time: 12.127, x: -1.63941e-05, y: -3.80445, z: 1.25
Time: 12.165, x: -2.65077e-05, y: -3.79035, z: 1.25
Time: 12.202, x: -3.60104e-05, y: -3.77623, z: 1.25
Time: 12.242, x: -4.46433e-05, y: -3.76247, z: 1.25
Time: 12.283, x: -5.26379e-05, y: -3.74868, z: 1.25
Time: 12.323, x: -5.97828e-05, y: -3.73526, z: 1.25
Time: 12.363, x: -6.66284e-05, y: -3.72108, z: 1.25
Time: 12.402, x: -7.55279e-05, y: -3.69978, z: 1.25
Time: 12.441, x: -8.04153e-05, y: -3.68593, z: 1.25
Time: 12.479, x: -8.43923e-05, y: -3.67282, z: 1.25
Time: 12.52, x: -8.79167e-05, y: -3.65895, z: 1.25
Time: 12.56, x: -9.0883e-05, y: -3.64431, z: 1.25
Time: 12.598, x: -9.29506e-05, y: -3.63077, z: 1.25
Time: 12.637, x: -9.44505e-05, y: -3.61647, z: 1.25
Time: 12.677, x: -9.53819e-05, y: -3.598, z: 1.25
Time: 12.717, x: -9.53268e-05, y: -3.58252, z: 1.25
Time: 12.755, x: -9.46284e-05, y: -3.56818, z: 1.25
Time: 12.793, x: -9.32545e-05, y: -3.55309, z: 1.25
Time: 12.833, x: -8.98074e-05, y: -3.53871, z: 1.25
Time: 12.888, x: -8.61684e-05, y: -3.51802, z: 1.25
Time: 12.945, x: -8.14566e-05, y: -3.49701, z: 1.25
Time: 12.999, x: -7.58549e-05, y: -3.47608, z: 1.25
Time: 13.057, x: -6.96158e-05, y: -3.45559, z: 1.25
Time: 13.112, x: -6.2254e-05, y: -3.43367, z: 1.25
Time: 13.165, x: -5.7221e-05, y: -3.4196, z: 1.25
Time: 13.221, x: -4.96239e-05, y: -3.39928, z: 1.25
Time: 13.275, x: -4.14861e-05, y: -3.37831, z: 1.25
Time: 13.346, x: -3.08917e-05, y: -3.35161, z: 1.25
Time: 13.412, x: -1.95498e-05, y: -3.3231, z: 1.25
Time: 13.477, x: -1.14794e-05, y: -3.30235, z: 1.25
Time: 13.538, x: -3.69657e-06, y: -3.28171, z: 1.25
Time: 13.599, x: 5.68779e-06, y: -3.25544, z: 1.25
Time: 13.661, x: 1.27284e-05, y: -3.23427, z: 1.25
Time: 13.72, x: 1.8742e-05, y: -3.21456, z: 1.25
Time: 13.782, x: 2.01823e-05, y: -3.19509, z: 1.25
Time: 13.852, x: 3.05433e-05, y: -3.16886, z: 1.25
Time: 13.922, x: 3.58476e-05, y: -3.14214, z: 1.25
