Time: 7.011, vx: -2.21457e-05, vy: 0.208609, vz: -8.31684e-05, vphi: 0.0039595, vtheta: 7.67356e-05, vpsi: 7.43504e-07
Time: 7.058, vx: -4.44717e-05, vy: 0.208489, vz: -5.32587e-05, vphi: 0.00437417, vtheta: 8.66011e-05, vpsi: 5.87967e-07
Time: 7.105, vx: -7.8001e-05, vy: 0.208157, vz: -1.86696e-05, vphi: 0.0047401, vtheta: 0.000100143, vpsi: 3.00776e-07
Time: 7.152, vx: -9.81589e-05, vy: 0.207846, vz: -3.51178e-06, vphi: 0.00454217, vtheta: 0.00010761, vpsi: 9.65954e-08
Time: 7.198, vx: -0.000125886, vy: 0.207233, vz: 1.03133e-05, vphi: 0.00373982, vtheta: 0.000116764, vpsi: -1.78918e-07
Time: 7.246, vx: -0.000141532, vy: 0.206758, vz: 1.42559e-05, vphi: 0.00268264, vtheta: 0.000121137, vpsi: -3.14985e-07
Time: 7.293, vx: -0.000162054, vy: 0.205982, vz: 1.70371e-05, vphi: 0.000952058, vtheta: 0.000126124, vpsi: -4.15366e-07
Time: 7.34, vx: -0.000173723, vy: 0.20545, vz: 1.63293e-05, vphi: 0.000560287, vtheta: 0.000127678, vpsi: -3.91918e-07
Time: 7.38, vx: -0.000183313, vy: 0.204938, vz: 1.45989e-05, vphi: 0.000691817, vtheta: 0.000128087, vpsi: -3.21722e-07
Time: 7.43, vx: -0.000194498, vy: 0.204155, vz: 1.11998e-05, vphi: 0.000901285, vtheta: 0.00012686, vpsi: -1.90139e-07
Time: 7.479, vx: -0.000201926, vy: 0.203396, vz: -0.000104443, vphi: -0.000226129, vtheta: 0.000127204, vpsi: -4.4781e-08
Time: 7.525, vx: -0.000204478, vy: 0.202847, vz: -0.000127954, vphi: -0.000490655, vtheta: 0.000124031, vpsi: 3.33443e-08
Time: 7.575, vx: -0.000205054, vy: 0.201999, vz: -0.000102479, vphi: -0.000314495, vtheta: 0.000115398, vpsi: 1.27195e-07
Time: 7.623, vx: -0.000203363, vy: 0.201459, vz: -6.91859e-05, vphi: -0.000413532, vtheta: 0.000109184, vpsi: 1.82269e-07
Time: 7.666, vx: -0.000197914, vy: 0.200609, vz: -1.86197e-05, vphi: -0.00142218, vtheta: 9.85286e-05, vpsi: 2.6181e-07
Time: 7.713, vx: -0.000192508, vy: 0.200077, vz: 9.4244e-06, vphi: -0.00169991, vtheta: 9.11298e-05, vpsi: 3.09575e-07
Time: 7.76, vx: -0.000182258, vy: 0.199429, vz: 5.55974e-05, vphi: -0.00152664, vtheta: 8.14772e-05, vpsi: 3.96387e-07
Time: 7.808, vx: -0.000173606, vy: 0.198962, vz: 7.21316e-05, vphi: -0.00201695, vtheta: 7.42524e-05, vpsi: 4.66338e-07
Time: 7.856, vx: -0.000159247, vy: 0.198359, vz: 7.74282e-05, vphi: -0.00176646, vtheta: 6.28107e-05, vpsi: 5.08444e-07
Time: 7.903, vx: -0.000148657, vy: 0.197987, vz: 7.29685e-05, vphi: -0.00149465, vtheta: 5.46295e-05, vpsi: 5.17245e-07
Time: 7.95, vx: -0.000136694, vy: 0.197602, vz: 6.47295e-05, vphi: -0.00160581, vtheta: 4.57368e-05, vpsi: 5.21253e-07
Time: 7.998, vx: -0.000117343, vy: 0.197081, vz: 4.89474e-05, vphi: -0.00156243, vtheta: 3.21583e-05, vpsi: 4.99647e-07
Time: 8.044, vx: -0.000104272, vy: 0.196775, vz: 3.85616e-05, vphi: -0.0017175, vtheta: 2.3537e-05, vpsi: 4.98874e-07
Time: 8.092, vx: -8.44493e-05, vy: 0.196333, vz: 2.43626e-05, vphi: -0.00277419, vtheta: 1.12014e-05, vpsi: 5.27909e-07
Time: 8.139, vx: -6.46595e-05, vy: 0.195979, vz: 1.38094e-05, vphi: -0.00448361, vtheta: -4.14819e-07, vpsi: 6.27288e-07
Time: 8.185, vx: -5.02744e-05, vy: 0.19583, vz: 7.91274e-06, vphi: -0.00439042, vtheta: -8.31954e-06, vpsi: 6.63161e-07
Time: 8.232, vx: -3.53273e-05, vy: 0.195766, vz: 3.596e-06, vphi: -0.00382252, vtheta: -1.61032e-05, vpsi: 6.77331e-07
Time: 8.279, vx: -1.55298e-05, vy: 0.195792, vz: 9.4415e-07, vphi: -0.00332855, vtheta: -2.60772e-05, vpsi: 6.6603e-07
Time: 8.326, vx: -2.79152e-06, vy: 0.195881, vz: -2.22969e-07, vphi: -0.00243529, vtheta: -3.21898e-05, vpsi: 6.07009e-07
Time: 8.373, vx: 8.8431e-06, vy: 0.195994, vz: -1.08087e-06, vphi: -0.00163951, vtheta: -3.74904e-05, vpsi: 5.37918e-07
Time: 8.421, vx: 2.68206e-05, vy: 0.196192, vz: -1.93879e-06, vphi: -0.00120995, vtheta: -4.51843e-05, vpsi: 4.10069e-07
Time: 8.468, vx: 4.2433e-05, vy: 0.196421, vz: -2.39345e-06, vphi: -0.000665289, vtheta: -5.15984e-05, vpsi: 2.70433e-07
Time: 8.514, vx: 5.21045e-05, vy: 0.196576, vz: -2.64372e-06, vphi: -0.000472582, vtheta: -5.49276e-05, vpsi: 1.90611e-07
Time: 8.56, vx: 6.09782e-05, vy: 0.196729, vz: -2.71887e-06, vphi: -0.000690617, vtheta: -5.7621e-05, vpsi: 1.2981e-07
Time: 8.606, vx: 7.2723e-05, vy: 0.197006, vz: -1.55598e-06, vphi: -0.000646306, vtheta: -6.09048e-05, vpsi: 4.78891e-08
Time: 8.655, vx: 8.21977e-05, vy: 0.197308, vz: 3.84524e-07, vphi: -0.000387066, vtheta: -6.33568e-05, vpsi: -1.62457e-08
Time: 8.703, vx: 8.76242e-05, vy: 0.197512, vz: 1.5733e-06, vphi: -0.000581916, vtheta: -6.42048e-05, vpsi: -4.40011e-08
Time: 8.749, vx: 9.39047e-05, vy: 0.197828, vz: 2.08086e-06, vphi: 0.000229479, vtheta: -6.3642e-05, vpsi: -9.14009e-08
Time: 8.794, vx: 9.70965e-05, vy: 0.198039, vz: 1.39036e-06, vphi: 0.000622387, vtheta: -6.24369e-05, vpsi: -1.21252e-07
Time: 8.84, vx: 9.95317e-05, vy: 0.198262, vz: 1.10955e-06, vphi: 0.000520378, vtheta: -6.09284e-05, vpsi: -1.57528e-07
Time: 8.887, vx: 0.000100759, vy: 0.198474, vz: 2.59294e-06, vphi: 0.000630519, vtheta: -5.94884e-05, vpsi: -1.93442e-07
Time: 8.933, vx: 0.000101013, vy: 0.198766, vz: 4.43986e-06, vphi: 0.000663378, vtheta: -5.67747e-05, vpsi: -2.24923e-07
Time: 8.981, vx: 9.95538e-05, vy: 0.198975, vz: 3.28441e-06, vphi: -0.000219783, vtheta: -5.32206e-05, vpsi: -2.36754e-07
