Time: 18.805, x: -4.53328e-06, y: -5.16158, z: 1.25
Time: 18.857, x: -4.45212e-06, y: -5.14727, z: 1.25
Time: 18.902, x: -4.38126e-06, y: -5.13902, z: 1.25
Time: 18.954, x: -4.29994e-06, y: -5.12625, z: 1.25
Time: 19.001, x: -4.22783e-06, y: -5.11848, z: 1.25
Time: 19.052, x: -4.15152e-06, y: -5.10687, z: 1.25
Time: 19.094, x: -4.09011e-06, y: -5.10011, z: 1.25
Time: 19.143, x: -4.0209e-06, y: -5.09053, z: 1.25
Time: 19.191, x: -3.95475e-06, y: -5.08422, z: 1.25
Time: 19.237, x: -3.89364e-06, y: -5.07483, z: 1.25
Time: 19.278, x: -3.84078e-06, y: -5.06885, z: 1.25
Time: 19.325, x: -3.78185e-06, y: -5.06316, z: 1.25
Time: 19.371, x: -3.72613e-06, y: -5.05509, z: 1.25
Time: 19.419, x: -3.66965e-06, y: -5.04959, z: 1.25
Time: 19.462, x: -3.62078e-06, y: -5.04178, z: 1.25
Time: 19.506, x: -3.572e-06, y: -5.03626, z: 1.25
Time: 19.546, x: -3.5288e-06, y: -5.03083, z: 1.25
Time: 19.585, x: -3.48768e-06, y: -5.02519, z: 1.25
Time: 19.632, x: -3.43971e-06, y: -5.01652, z: 1.24999
Time: 19.673, x: -3.39875e-06, y: -5.01074, z: 1.24999
Time: 19.714, x: -3.3587e-06, y: -5.00464, z: 1.24999
Time: 19.759, x: -3.31592e-06, y: -4.99838, z: 1.24999
Time: 19.804, x: -3.27438e-06, y: -4.98871, z: 1.24999
Time: 19.849, x: -3.23364e-06, y: -4.98207, z: 1.25
Time: 19.889, x: -3.19839e-06, y: -4.97525, z: 1.25
Time: 19.927, x: -3.16563e-06, y: -4.96822, z: 1.25
Time: 19.971, x: -3.12849e-06, y: -4.95751, z: 1.25
Time: 20.016, x: -3.09141e-06, y: -4.95003, z: 1.25
Time: 20.059, x: -3.05674e-06, y: -4.94239, z: 1.25
Time: 20.102, x: -3.02277e-06, y: -4.93478, z: 1.25
Time: 20.143, x: -2.99116e-06, y: -4.92572, z: 1.25
Time: 20.183, x: -2.96089e-06, y: -4.91359, z: 1.25
Time: 20.226, x: -2.9289e-06, y: -4.90516, z: 1.25
Time: 20.267, x: -2.89898e-06, y: -4.89682, z: 1.25
Time: 20.308, x: -2.8696e-06, y: -4.88789, z: 1.24999
Time: 20.352, x: -2.83862e-06, y: -4.87506, z: 1.24999
Time: 20.397, x: -2.80761e-06, y: -4.86583, z: 1.24998
Time: 20.436, x: -2.78074e-06, y: -4.85724, z: 1.24998
Time: 20.479, x: -2.75128e-06, y: -4.84811, z: 1.24998
Time: 20.524, x: -2.71953e-06, y: -4.83409, z: 1.24998
Time: 20.567, x: -2.6899e-06, y: -4.82534, z: 1.24998
Time: 20.609, x: -2.66116e-06, y: -4.81632, z: 1.24999
Time: 20.652, x: -2.62827e-06, y: -4.80264, z: 1.24999
Time: 20.694, x: -2.59845e-06, y: -4.79334, z: 1.24999
Time: 20.737, x: -2.56665e-06, y: -4.78426, z: 1.24999
Time: 20.782, x: -2.53403e-06, y: -4.77444, z: 1.24999
Time: 20.822, x: -2.49841e-06, y: -4.76095, z: 1.25
Time: 20.866, x: -2.46513e-06, y: -4.75139, z: 1.25
Time: 20.91, x: -2.43047e-06, y: -4.74235, z: 1.25
Time: 20.953, x: -2.3913e-06, y: -4.72898, z: 1.25
Time: 20.997, x: -2.35411e-06, y: -4.71885, z: 1.25
Time: 21.038, x: -2.32061e-06, y: -4.70974, z: 1.25
Time: 21.079, x: -2.28737e-06, y: -4.70091, z: 1.25
Time: 21.124, x: -2.24582e-06, y: -4.68835, z: 1.25
