Time: 9.392, x: 2.31751e-05, y: -6.65831, z: 1.25008, phi: 0.00217629, theta: -8.73389e-06, psi: -4.61198e-08
Time: 9.439, x: 2.48141e-05, y: -6.65107, z: 1.25008, phi: 0.00220872, theta: -8.87774e-06, psi: -5.08113e-08
Time: 9.486, x: 2.68744e-05, y: -6.64, z: 1.25008, phi: 0.00225595, theta: -8.96154e-06, psi: -5.88743e-08
Time: 9.534, x: 2.79825e-05, y: -6.63234, z: 1.25008, phi: 0.0022815, theta: -8.9265e-06, psi: -6.49005e-08
Time: 9.581, x: 2.91164e-05, y: -6.62147, z: 1.25008, phi: 0.00232093, theta: -8.75485e-06, psi: -7.35258e-08
Time: 9.627, x: 2.95997e-05, y: -6.61401, z: 1.25008, phi: 0.00234207, theta: -8.56082e-06, psi: -7.92994e-08
Time: 9.672, x: 2.98906e-05, y: -6.60274, z: 1.25008, phi: 0.00235037, theta: -8.16016e-06, psi: -8.76067e-08
Time: 9.718, x: 2.98077e-05, y: -6.59549, z: 1.25008, phi: 0.00235687, theta: -7.83975e-06, psi: -9.21171e-08
Time: 9.765, x: 2.92681e-05, y: -6.58402, z: 1.25008, phi: 0.00236472, theta: -7.23963e-06, psi: -9.77378e-08
Time: 9.811, x: 2.86469e-05, y: -6.57637, z: 1.25008, phi: 0.00235853, theta: -6.78258e-06, psi: -1.00376e-07
Time: 9.858, x: 2.73823e-05, y: -6.56511, z: 1.25008, phi: 0.00231924, theta: -6.04123e-06, psi: -1.02591e-07
Time: 9.905, x: 2.63386e-05, y: -6.55767, z: 1.25008, phi: 0.00229344, theta: -5.51702e-06, psi: -1.02512e-07
Time: 9.952, x: 2.45523e-05, y: -6.5468, z: 1.25008, phi: 0.00225433, theta: -4.71341e-06, psi: -1.00298e-07
Time: 10, x: 2.2496e-05, y: -6.53594, z: 1.25008, phi: 0.00221776, theta: -3.88146e-06, psi: -9.62648e-08
Time: 10.048, x: 2.08273e-05, y: -6.52788, z: 1.25008, phi: 0.0022071, theta: -3.25505e-06, psi: -9.25439e-08
Time: 10.094, x: 1.91477e-05, y: -6.52023, z: 1.25008, phi: 0.00220889, theta: -2.65857e-06, psi: -8.90261e-08
Time: 10.142, x: 1.65895e-05, y: -6.50915, z: 1.25008, phi: 0.00221997, theta: -1.80581e-06, psi: -8.51259e-08
Time: 10.19, x: 1.38285e-05, y: -6.49765, z: 1.25008, phi: 0.00225538, theta: -9.42874e-07, psi: -8.33179e-08
