Time: 10.048, Fy: 0.125373, U1: 27.349, U2: 0.00840086, U3: -1.15867e-06, U4: 1.08052e-07
Time: 10.094, Fy: 0.127053, U1: 27.3491, U2: 0.00739926, U3: -1.1216e-06, U4: 1.14796e-07
Time: 10.142, Fy: 0.125372, U1: 27.349, U2: 0.00544692, U3: -2.07373e-06, U4: 1.57422e-07
Time: 10.19, Fy: 0.125374, U1: 27.349, U2: 0.0080024, U3: -2.82894e-06, U4: 2.40437e-07
Time: 10.237, Fy: 0.126172, U1: 27.349, U2: 0.00726161, U3: -3.04144e-06, U4: 3.07308e-07
Time: 10.284, Fy: 0.126172, U1: 27.349, U2: 0.00503941, U3: -3.37285e-06, U4: 3.8225e-07
Time: 10.331, Fy: 0.126173, U1: 27.3489, U2: 0.00756907, U3: -3.85075e-06, U4: 4.74023e-07
Time: 10.377, Fy: 0.127054, U1: 27.349, U2: 0.00558263, U3: -4.01056e-06, U4: 5.37678e-07
Time: 10.425, Fy: 0.125374, U1: 27.3489, U2: 0.00420253, U3: -4.63258e-06, U4: 6.07835e-07
Time: 10.471, Fy: 0.127055, U1: 27.349, U2: 0.00641568, U3: -4.65524e-06, U4: 6.48482e-07
Time: 10.518, Fy: 0.126173, U1: 27.3489, U2: 0.00589716, U3: -4.92771e-06, U4: 6.61337e-07
Time: 10.566, Fy: 0.125375, U1: 27.3489, U2: 0.00840424, U3: -5.0506e-06, U4: 6.44959e-07
Time: 10.613, Fy: 0.126173, U1: 27.3489, U2: 0.00780979, U3: -4.95595e-06, U4: 5.9204e-07
Time: 10.66, Fy: 0.126173, U1: 27.3489, U2: 0.00529024, U3: -4.8643e-06, U4: 5.58633e-07
Time: 10.705, Fy: 0.12803, U1: 27.3491, U2: 0.00453403, U3: -4.70784e-06, U4: 5.3415e-07
Time: 10.752, Fy: 0.126173, U1: 27.3489, U2: 0.00670165, U3: -4.53918e-06, U4: 5.01852e-07
