Time: 382.011, x: 3.09133, y: 3.08809, z: 1.25001
Time: 382.055, x: 3.10399, y: 3.10074, z: 1.25001
Time: 382.098, x: 3.11347, y: 3.11022, z: 1.25001
Time: 382.142, x: 3.12295, y: 3.1197, z: 1.25001
Time: 382.187, x: 3.13558, y: 3.13232, z: 1.25001
Time: 382.231, x: 3.14503, y: 3.14177, z: 1.25001
Time: 382.276, x: 3.1576, y: 3.15434, z: 1.25001
Time: 382.32, x: 3.16702, y: 3.16374, z: 1.25001
Time: 382.364, x: 3.17915, y: 3.17586, z: 1.25001
Time: 382.409, x: 3.18889, y: 3.18562, z: 1.25001
Time: 382.457, x: 3.20136, y: 3.19808, z: 1.25001
Time: 382.506, x: 3.21069, y: 3.2074, z: 1.25001
Time: 382.556, x: 3.22309, y: 3.21981, z: 1.25001
Time: 382.606, x: 3.23548, y: 3.23217, z: 1.25001
Time: 382.659, x: 3.24784, y: 3.24453, z: 1.25001
Time: 382.712, x: 3.26016, y: 3.25684, z: 1.25001
Time: 382.763, x: 3.27255, y: 3.26922, z: 1.25001
Time: 382.81, x: 3.28483, y: 3.28149, z: 1.25001
Time: 382.866, x: 3.29711, y: 3.29377, z: 1.25001
Time: 382.921, x: 3.3094, y: 3.30604, z: 1.25001
Time: 382.974, x: 3.32169, y: 3.31832, z: 1.25001
Time: 383.028, x: 3.3368, y: 3.33342, z: 1.25001
Time: 383.078, x: 3.3463, y: 3.3429, z: 1.25001
Time: 383.13, x: 3.35862, y: 3.3552, z: 1.25001
Time: 383.182, x: 3.37096, y: 3.36753, z: 1.25001
Time: 383.235, x: 3.38591, y: 3.38246, z: 1.25001
Time: 383.289, x: 3.39872, y: 3.39527, z: 1.25001
Time: 383.346, x: 3.41112, y: 3.40765, z: 1.25001
Time: 383.401, x: 3.42349, y: 3.42002, z: 1.25001
Time: 383.455, x: 3.43586, y: 3.43238, z: 1.25001
Time: 383.513, x: 3.4521, y: 3.44862, z: 1.25001
Time: 383.571, x: 3.46475, y: 3.46126, z: 1.25001
Time: 383.624, x: 3.47715, y: 3.47366, z: 1.25001
Time: 383.678, x: 3.48955, y: 3.48606, z: 1.25001
Time: 383.735, x: 3.50503, y: 3.50155, z: 1.25001
Time: 383.791, x: 3.5174, y: 3.51393, z: 1.25001
Time: 383.849, x: 3.52976, y: 3.5263, z: 1.25001
Time: 383.908, x: 3.5452, y: 3.54175, z: 1.25001
Time: 383.965, x: 3.55754, y: 3.5541, z: 1.25001
Time: 384.026, x: 3.57294, y: 3.56952, z: 1.25001
Time: 384.093, x: 3.58833, y: 3.58493, z: 1.25001
Time: 384.157, x: 3.60367, y: 3.60028, z: 1.25001
Time: 384.22, x: 3.61906, y: 3.61568, z: 1.25001
Time: 384.286, x: 3.63465, y: 3.63128, z: 1.25001
Time: 384.352, x: 3.65, y: 3.64664, z: 1.25001
Time: 384.41, x: 3.66485, y: 3.66148, z: 1.25001
Time: 384.467, x: 3.67829, y: 3.67492, z: 1.25002
Time: 384.528, x: 3.69058, y: 3.68722, z: 1.25003
Time: 384.59, x: 3.70588, y: 3.70252, z: 1.25003
Time: 384.648, x: 3.72092, y: 3.71756, z: 1.25003
Time: 384.704, x: 3.73334, y: 3.72997, z: 1.25002
Time: 384.762, x: 3.74555, y: 3.74219, z: 1.25002
Time: 384.823, x: 3.76079, y: 3.75741, z: 1.25001
Time: 384.881, x: 3.77558, y: 3.77221, z: 1.25001
Time: 384.933, x: 3.78777, y: 3.78439, z: 1.25001
Time: 384.986, x: 3.80016, y: 3.79676, z: 1.25
Time: 385.041, x: 3.81258, y: 3.80916, z: 1.25
Time: 385.099, x: 3.8248, y: 3.82139, z: 1.25
Time: 385.159, x: 3.84006, y: 3.83663, z: 1.25001
Time: 385.219, x: 3.85488, y: 3.85144, z: 1.25001
Time: 385.279, x: 3.86754, y: 3.86409, z: 1.25001
Time: 385.341, x: 3.88283, y: 3.87937, z: 1.25001
Time: 385.405, x: 3.89809, y: 3.89469, z: 1.25001
Time: 385.467, x: 3.9131, y: 3.90967, z: 1.25001
Time: 385.531, x: 3.92811, y: 3.92472, z: 1.25001
Time: 385.59, x: 3.94064, y: 3.93735, z: 1.25002
Time: 385.652, x: 3.95586, y: 3.95266, z: 1.25003
Time: 385.714, x: 3.9711, y: 3.96786, z: 1.25003
Time: 385.776, x: 3.98352, y: 3.9804, z: 1.25003
Time: 385.839, x: 3.99855, y: 3.99577, z: 1.25002
Time: 385.897, x: 4.01278, y: 4.01112, z: 1.25002
Time: 385.954, x: 4.0215, y: 4.02334, z: 1.25001
Time: 386.014, x: 4.02933, y: 4.0387, z: 1.25001
Time: 386.075, x: 4.03084, y: 4.051, z: 1.25001
Time: 386.133, x: 4.02815, y: 4.0663, z: 1.25001
Time: 386.199, x: 4.02374, y: 4.0816, z: 1.25001
Time: 386.263, x: 4.01899, y: 4.09689, z: 1.25001
Time: 386.332, x: 4.01445, y: 4.11209, z: 1.25001
Time: 386.403, x: 4.00975, y: 4.13006, z: 1.25001
Time: 386.462, x: 4.00696, y: 4.14249, z: 1.25001
Time: 386.525, x: 4.00426, y: 4.15759, z: 1.25001
Time: 386.592, x: 4.00205, y: 4.17303, z: 1.25001
Time: 386.661, x: 4.00058, y: 4.1881, z: 1.25001
Time: 386.732, x: 3.99941, y: 4.20618, z: 1.25001
Time: 386.799, x: 3.99888, y: 4.22122, z: 1.25001
Time: 386.868, x: 3.99882, y: 4.23625, z: 1.25001
Time: 386.936, x: 3.99914, y: 4.2538, z: 1.25001
Time: 386.998, x: 3.99937, y: 4.26627, z: 1.25001
Time: 387.063, x: 3.99962, y: 4.28128, z: 1.25001
