Time: 9.729, U1: 20.6793, U2: 0.000956542, U3: -0.00102791, U4: -2.4101e-07
Time: 9.767, U1: 20.6769, U2: -0.0032016, U3: 0.00287253, U4: 7.47028e-08
Time: 9.807, U1: 20.679, U2: -0.00165381, U3: 0.00145795, U4: 1.14067e-07
Time: 9.846, U1: 20.6778, U2: -0.00108975, U3: 0.000940989, U4: 1.39452e-07
Time: 9.885, U1: 20.6778, U2: 1.24693e-05, U3: -0.00012265, U4: 1.05325e-07
Time: 9.924, U1: 20.6776, U2: 0.0010475, U3: -0.00111526, U4: 1.0636e-07
Time: 9.963, U1: 20.6777, U2: 0.00606716, U3: -0.00580987, U4: 1.66919e-07
Time: 10.003, U1: 20.6789, U2: 0.0041998, U3: -0.00400202, U4: 1.89458e-07
Time: 10.041, U1: 20.6766, U2: 0.00179681, U3: -0.00165359, U4: 1.7147e-07
Time: 10.08, U1: 20.6777, U2: 0.0013654, U3: -0.00106602, U4: 1.73296e-07
Time: 10.119, U1: 20.6778, U2: 0.000149286, U3: 0.000192519, U4: 1.67256e-07
Time: 10.158, U1: 20.678, U2: -0.00496755, U3: 0.00501722, U4: 2.20107e-07
Time: 10.197, U1: 20.6782, U2: -0.00407706, U3: 0.00414331, U4: 2.29712e-07
Time: 10.237, U1: 20.6793, U2: -0.00141228, U3: 0.00141448, U4: 3.02147e-07
Time: 10.275, U1: 20.677, U2: -0.00144731, U3: 0.00127958, U4: 4.10308e-07
Time: 10.314, U1: 20.678, U2: 1.65298e-05, U3: -0.000263174, U4: 4.56325e-07
Time: 10.353, U1: 20.678, U2: 0.00208032, U3: -0.00226573, U4: 4.1446e-07
Time: 10.392, U1: 20.6781, U2: 0.00710435, U3: -0.00695166, U4: 5.25664e-07
Time: 10.431, U1: 20.6781, U2: 0.00249852, U3: -0.00252741, U4: 9.7192e-08
Time: 10.47, U1: 20.6781, U2: 0.0022741, U3: -0.00207974, U4: -2.49933e-07
Time: 10.509, U1: 20.6781, U2: 0.00042671, U3: -0.000105846, U4: -5.09686e-07
Time: 10.548, U1: 20.6781, U2: -0.000701067, U3: 0.00109613, U4: -5.22399e-07
