Time: 364.044, x: 1.41311, y: 1.42411, z: 1.25
Time: 364.079, x: 1.42062, y: 1.43108, z: 1.25
Time: 364.113, x: 1.42793, y: 1.43786, z: 1.25
Time: 364.148, x: 1.43369, y: 1.44321, z: 1.25
Time: 364.182, x: 1.43925, y: 1.44837, z: 1.25
Time: 364.216, x: 1.44672, y: 1.4553, z: 1.25
Time: 364.251, x: 1.45417, y: 1.46222, z: 1.25
Time: 364.285, x: 1.45912, y: 1.46681, z: 1.25
Time: 364.32, x: 1.46654, y: 1.47369, z: 1.25
Time: 364.354, x: 1.47395, y: 1.48055, z: 1.25
Time: 364.389, x: 1.47888, y: 1.48512, z: 1.25
Time: 364.424, x: 1.48627, y: 1.49195, z: 1.25
Time: 364.459, x: 1.49365, y: 1.49876, z: 1.25
Time: 364.494, x: 1.49876, y: 1.50347, z: 1.25
Time: 364.529, x: 1.50615, y: 1.51026, z: 1.25
Time: 364.563, x: 1.51354, y: 1.51704, z: 1.25
Time: 364.598, x: 1.51847, y: 1.52156, z: 1.25
Time: 364.633, x: 1.52587, y: 1.52833, z: 1.25
Time: 364.667, x: 1.5333, y: 1.53509, z: 1.25
Time: 364.702, x: 1.53825, y: 1.5396, z: 1.25
Time: 364.737, x: 1.54569, y: 1.54634, z: 1.25
Time: 364.772, x: 1.55314, y: 1.55309, z: 1.25
Time: 364.806, x: 1.55831, y: 1.55776, z: 1.25
Time: 364.841, x: 1.56577, y: 1.56448, z: 1.25
Time: 364.872, x: 1.57081, y: 1.56903, z: 1.25
Time: 364.911, x: 1.57847, y: 1.57592, z: 1.25
Time: 364.947, x: 1.58595, y: 1.58264, z: 1.25
Time: 364.983, x: 1.59344, y: 1.58934, z: 1.25
Time: 365.019, x: 1.60074, y: 1.59588, z: 1.25
Time: 365.054, x: 1.60593, y: 1.60052, z: 1.25
Time: 365.089, x: 1.61344, y: 1.60723, z: 1.25
Time: 365.125, x: 1.62095, y: 1.61394, z: 1.25
Time: 365.161, x: 1.62809, y: 1.6203, z: 1.25
Time: 365.197, x: 1.6335, y: 1.62513, z: 1.25
Time: 365.232, x: 1.64104, y: 1.63185, z: 1.25
Time: 365.268, x: 1.64859, y: 1.63858, z: 1.25
Time: 365.303, x: 1.65363, y: 1.64306, z: 1.25
Time: 365.338, x: 1.66119, y: 1.6498, z: 1.25
Time: 365.374, x: 1.66875, y: 1.65654, z: 1.25
Time: 365.41, x: 1.67632, y: 1.66329, z: 1.25
Time: 365.445, x: 1.68137, y: 1.66779, z: 1.25
Time: 365.481, x: 1.68894, y: 1.67455, z: 1.25
Time: 365.517, x: 1.6965, y: 1.68131, z: 1.25001
Time: 365.553, x: 1.70406, y: 1.68807, z: 1.25002
Time: 365.588, x: 1.7091, y: 1.69258, z: 1.25002
Time: 365.623, x: 1.71666, y: 1.69935, z: 1.25003
Time: 365.66, x: 1.72421, y: 1.70612, z: 1.25004
Time: 365.696, x: 1.73175, y: 1.7129, z: 1.25005
Time: 365.732, x: 1.73716, y: 1.71778, z: 1.25005
